,ID,Owner,Country.of.Origin,Company,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
205,206,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,7,100 lbs,Specialty Coffee Association,2012,"December 11th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,84.25,0.11,1,0,Bluish-Green,1.0,"December 11th, 2013",Specialty Coffee Association,ft,,,
206,207,jesus salazar velasco,Mexico,carajillo cafÃ© sa de cv,JESUS SALAZAR VELASCO,10,1 kg,AMECAFE,2012,"September 11th, 2012",JESUS SALAZAR VELASCO,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.25,0.12,0,0,Green,1.0,"September 11th, 2013",AMECAFE,m,1450.0,1450.0,1450.0
207,208,manuel herrera juarez,Mexico,,MANUEL HERRERA JUAREZ,20,1 kg,AMECAFE,2012,"April 9th, 2012",MANUEL HERRERA JUAREZ,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,84.25,0.12,0,0,Green,0.0,"April 9th, 2013",AMECAFE,m,1170.0,1170.0,1170.0
208,209,alfredo bojalil,Mexico,ecomtrading,ERNST POHLENZ AGUILAR,250,1 kg,AMECAFE,2012,"April 2nd, 2012",ALFREDO BOJALIL,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,84.25,0.1,0,0,Bluish-Green,4.0,"April 2nd, 2013",AMECAFE,m,1400.0,1400.0,1400.0
209,210,afca,Uganda,bukonzo joint cfs,,1,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,84.25,0.13,4,0,Green,29.0,"February 12th, 2013",Africa Fine Coffee Association,m,1700.0,1700.0,1700.0
210,211,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",JORGE LEAL,50,69 kg,Asociacion Nacional Del CafÃ©,2017,"June 1st, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,84.17,0.13,0,0,Green,1.0,"June 1st, 2018",Asociacion Nacional Del CafÃ©,m,1700.0,1700.0,1700.0
211,212,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,La Plata,250,70 kg,AlmacafÃ©,2016,"August 19th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0,0,0,Green,2.0,"August 19th, 2017",AlmacafÃ©,m,,,
212,213,wayner jimenez,Costa Rica,exclusive coffee - costa rica,Los Angeles Micro-Mill (Ricardo CalderÃ³n),150,69 kg,Specialty Coffee Association of Costa Rica,2016,"August 19th, 2016",Wayner Jimenez,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8,84.17,0.09,0,0,Bluish-Green,2.0,"August 19th, 2017",Specialty Coffee Association of Costa Rica,m,1700.0,1700.0,1700.0
213,214,juan luis alvarado romero,Guatemala,exportcafe,DARY COLMAN ALVARADO VILLATORO,275,69 kg,Asociacion Nacional Del CafÃ©,2016,"June 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.58,8,7.67,7.83,10.0,10.0,10.0,7.58,84.17,0.11,0,0,Green,6.0,"June 23rd, 2017",Asociacion Nacional Del CafÃ©,ft,1116.7872,1116.7872,1116.7872
214,215,juan luis alvarado romero,Guatemala,cafcom,FERNANDO FAHSEN,377,69 kg,Asociacion Nacional Del CafÃ©,2016,"June 1st, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.17,0.1,0,1,Green,10.0,"June 1st, 2017",Asociacion Nacional Del CafÃ©,m,1565.0,1565.0,1565.0
215,216,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",CHAPULTEPEC,130,69 kg,Asociacion Nacional Del CafÃ©,2016,"June 1st, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,0.1,0,0,Green,2.0,"June 1st, 2017",Asociacion Nacional Del CafÃ©,m,3280.0,3280.0,3280.0
216,217,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,La Plata,275,70 kg,AlmacafÃ©,2015,"August 18th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,8,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,84.17,0,0,0,Bluish-Green,0.0,"August 17th, 2016",AlmacafÃ©,m,1600.0,1950.0,1775.0
217,218,cooperativa el gorrion r.l,Nicaragua,cooperativa el gorrion r.l,COOPERATIVA EL GORRION RL,275,2 kg,Specialty Coffee Association of Costa Rica,2015,"August 3rd, 2015",COOPERATIVA EL GORRION R.L,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,84.17,0.12,0,0,Bluish-Green,0.0,"August 2nd, 2016",Specialty Coffee Association of Costa Rica,m,900.0,1100.0,1000.0
218,219,cafebras,Brazil,cafebras comercio de cafÃ©s do brasil sa,MAURO GALHERI,305,59 kg,Brazil Specialty Coffee Association,2015,"April 24th, 2015",Cafebras,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.17,0,0,0,,16.0,"April 23rd, 2016",Brazil Specialty Coffee Association,m,1150.0,1150.0,1150.0
219,220,"ceca, s.a.",Costa Rica,"ceca,s.a.",Martin Gutierrez,320,69 kg,Specialty Coffee Ass,2014,"April 10th, 2015","CECA,S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,84.17,0,0,0,Blue-Green,0.0,"April 9th, 2016",Specialty Coffee Association of Costa Rica,m,1850.0,1850.0,1850.0
220,221,asefa dukamo keroma,Ethiopia,asefa dukamo coffee plantetion,Tariku Oljira,320,60 kg,METAD Agricultural Development plc,2014,"March 26th, 2015",Asefa Dukamo Keroma,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.1,0,0,Green,5.0,"March 25th, 2016",METAD Agricultural Development plc,m,1545.0,1668.0,1606.5
221,222,selian coffee estate,"Tanzania, United Republic Of",selian coffee estate,Selian Coffee Estate,10,60 kg,Africa Fine Coffee Association,2014,"December 12th, 2014",Selian Coffee Estate,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,84.17,0.13,0,0,Green,0.0,"December 12th, 2015",Africa Fine Coffee Association,m,1400.0,1400.0,1400.0
222,223,olam agro colombia,Colombia,olam international ltd,,250,1 kg,AlmacafÃ©,2014/2015,"October 15th, 2014",Olam Agro Colombia,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,84.17,0.12,0,0,Green,4.0,"October 15th, 2015",AlmacafÃ©,m,1530.0,1530.0,1530.0
223,224,chris finch,Guatemala,volcafe specialty coffee,,275,5 lbs,Specialty Coffee Association,2013,"July 16th, 2014",Chris Finch,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.17,0.11,0,0,Bluish-Green,0.0,"July 16th, 2015",Specialty Coffee Association,m,,,
224,225,itochu corporation,Kenya,taylor winch (coffee) ltd,,300,18000 kg,Kenya Coffee Traders Association,2013,"November 7th, 2013",ITOCHU Corporation,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.08,0,0,Green,0.0,"November 7th, 2014",Kenya Coffee Traders Association,m,1.0,500.0,250.5
225,226,owen carver,Brazil,cafÃ© do paraÃ­so,CafÃ© do ParaÃ­so,1,2 kg,Specialty Coffee Association,2012,"May 20th, 2013",Owen Carver,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,0,0,Green,3.0,"May 20th, 2014",Specialty Coffee Association,m,894.0,1183.0,1038.5
226,227,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.","AGRICOLA MONTE VERDE, S.A.",250,69 kg,Asociacion Nacional Del CafÃ©,2013,"May 9th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,84.17,0.11,0,0,Green,4.0,"May 9th, 2014",Asociacion Nacional Del CafÃ©,ft,1310.64,1310.64,1310.64
227,228,atlantic specialty coffee,El Salvador,atlantic specialty coffee,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,84.17,0.11,0,0,Bluish-Green,2.0,"March 18th, 2014",Specialty Coffee Association,m,1500.0,1500.0,1500.0
228,229,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,,250,70 kg,AlmacafÃ©,2012,"October 19th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,84.17,0,0,0,Green,2.0,"October 19th, 2013",AlmacafÃ©,m,1750.0,1750.0,1750.0
229,230,juan luis alvarado romero,Guatemala,unicafe,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del CafÃ©,2012,"March 26th, 2012",Juan Luis Alvarado Romero,Catuai,Natural / Dry,7.83,7.5,7.5,8,7.83,7.83,10.0,10.0,10.0,7.67,84.17,0.11,0,0,Bluish-Green,2.0,"March 26th, 2013",Asociacion Nacional Del CafÃ©,m,,,
230,231,afca,Uganda,great lakes coffee,,320,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,84.17,0.11,0,0,Green,1.0,"February 12th, 2013",Africa Fine Coffee Association,m,1500.0,1700.0,1600.0
231,232,pt.royal pacific indah international,Indonesia,pt. royal pacific indah international,ANTON GAYO,2,2 kg,Specialty Coffee Association of Indonesia,2017,"May 24th, 2017",PT.ROYAL PACIFIC INDAH INTERNATIONAL,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,84.13,0.12,0,0,Bluish-Green,0.0,"May 24th, 2018",Specialty Coffee Association of Indonesia,m,,,
232,233,carcafe ltda ci,Colombia,carcafe ltda,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70 kg,AlmacafÃ©,2017 / 2018,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,84.08,0,1,3,Green,3.0,"November 9th, 2018",AlmacafÃ©,m,442.0,442.0,442.0
233,234,"lin, che-hao krude ???",Taiwan,taiwan coffee laboratory,CHANG YU LIANG ???,10,20 kg,Specialty Coffee Association,2016,"May 18th, 2016","Lin, Che-Hao Krude ???",Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,84.08,0.1,0,0,Bluish-Green,4.0,"May 18th, 2017",Specialty Coffee Association,m,968.0,968.0,968.0
234,235,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",MARGARITA AVILA DE NUYENS,50,69 kg,Asociacion Nacional Del CafÃ©,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,84.08,0.1,0,0,Green,4.0,"April 27th, 2017",Asociacion Nacional Del CafÃ©,m,,,
235,236,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,La Plata,200,70 kg,AlmacafÃ©,2014,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,84.08,0,0,0,,2.0,"November 5th, 2015",AlmacafÃ©,m,1600.0,1950.0,1775.0
236,237,lusso lab,Guatemala,lusso coffee lab,Asociacion de Productores de Cafe de la Region Ixil,1,2 kg,Specialty Coffee Association,2014,"June 16th, 2014",LUSSO LAB,Bourbon,Washed / Wet,7.58,7.75,7.67,8,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.1,0,0,Bluish-Green,10.0,"June 16th, 2015",Specialty Coffee Association,m,1550.0,1550.0,1550.0
237,238,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,14,100 lbs,Specialty Coffee Association,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,8,84.08,0.11,1,0,Green,9.0,"January 24th, 2014",Specialty Coffee Association,ft,,,
238,239,andres martinez leon,Mexico,,ANDRES MARTINEZ LEON,300,1 kg,AMECAFE,2012,"September 4th, 2012",ANDRES MARTINEZ LEON,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,84.08,0.11,1,0,Green,10.0,"September 4th, 2013",AMECAFE,m,1480.0,1480.0,1480.0
239,240,steven kil,Ethiopia,the specialty coffee appraisers institute of asia,,100,60 kg,Specialty Coffee Association,2012,"August 17th, 2012",Steven Kil,Other,Natural / Dry,7.92,7.92,7.83,8,7.92,7.92,10.0,10.0,8.67,7.92,84.08,0.09,0,0,,15.0,"August 17th, 2013",Specialty Coffee Association,m,1800.0,1800.0,1800.0
240,241,amanda powers,Costa Rica,thrive farmers,,275,150 lbs,Specialty Coffee Association,2017,"January 11th, 2018",Amanda Powers,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,84,0.08,1,2,None,13.0,"January 11th, 2019",Specialty Coffee Association,m,,,
241,242,kyagalanyi coffee ltd,Ethiopia,kyagalanyi coffee ltd,Kerchanshe Trading P.L.C,320,60 kg,Uganda Coffee Development Authority,2017,"June 5th, 2017",Kyagalanyi Coffee Ltd,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,84,0.11,3,11,Green,1.0,"June 5th, 2018",Uganda Coffee Development Authority,m,1800.0,1800.0,1800.0
242,243,bismarck castro,Honduras,cigrah s.a de c.v,Nahun Maldonado,275,66 kg,Instituto HondureÃ±o del CafÃ©,2017,"May 11th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,84,0.1,0,0,Green,5.0,"May 11th, 2018",Instituto HondureÃ±o del CafÃ©,m,1500.0,1500.0,1500.0
243,244,juan luis alvarado romero,Guatemala,exportcafe,OTONIEL VILLATORO LOPEZ,275,69 kg,Asociacion Nacional Del CafÃ©,2015,"June 10th, 2015",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,84,0.12,0,0,Green,7.0,"June 9th, 2016",Asociacion Nacional Del CafÃ©,ft,1658.112,1755.648,1706.88
244,245,olam agro colombia,Colombia,olam international ltd,,250,1 kg,AlmacafÃ©,2014/2015,"December 18th, 2014",Olam Agro Colombia,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,84,0.11,2,0,Green,7.0,"December 18th, 2015",AlmacafÃ©,m,1600.0,1600.0,1600.0
245,246,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del CafÃ©,2014,"August 8th, 2014",Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,84,0.1,0,0,Green,1.0,"August 8th, 2015",Asociacion Nacional Del CafÃ©,ft,1219.2,1219.2,1219.2
246,247,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del CafÃ©,2014,"June 27th, 2014",Juan Luis Alvarado Romero,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,84,0.1,0,0,Green,0.0,"June 27th, 2015",Asociacion Nacional Del CafÃ©,ft,1219.2,1219.2,1219.2
247,248,olam agro colombia,Colombia,olam international ltd,,250,1 kg,AlmacafÃ©,2014,"May 27th, 2014",Olam Agro Colombia,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,84,0.12,0,0,Green,0.0,"May 27th, 2015",AlmacafÃ©,m,1480.0,1480.0,1480.0
248,249,compaÃ±ia colombiana agroindustrial s.a,Colombia,ecom cca sa,,250,70 kg,AlmacafÃ©,2014,"May 27th, 2014",CompaÃ±ia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,84,0.12,0,0,Green,0.0,"May 27th, 2015",AlmacafÃ©,m,1450.0,1450.0,1450.0
249,250,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,La Plata,138,70 kg,AlmacafÃ©,2014,"April 8th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,84,0.12,0,0,Green,3.0,"April 8th, 2015",AlmacafÃ©,m,1600.0,1950.0,1775.0
250,251,lusso lab,Ethiopia,lusso coffee lab,,50,60 kg,Specialty Coffee Association,2013,"January 17th, 2014",LUSSO LAB,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84,0.09,4,0,Green,40.0,"January 17th, 2015",Specialty Coffee Association,m,1550.0,1550.0,1550.0
251,252,ipanema coffees,Brazil,ipanema coffees,Ipanema Coffees,320,60 kg,Specialty Coffee Association,2013/2014,"January 2nd, 2014",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84,0.1,0,0,Green,0.0,"January 2nd, 2015",Specialty Coffee Association,m,1260.0,1260.0,1260.0
252,253,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,,270,70 kg,AlmacafÃ©,2013,"June 21st, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,84,0.11,0,0,Green,1.0,"June 21st, 2014",AlmacafÃ©,m,1700.0,1700.0,1700.0
253,254,ibero kenya limited,Kenya,ibero kenya limited,Blend of various producers,300,60 kg,Kenya Coffee Traders Association,2012,"March 8th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84,0,0,0,Green,2.0,"March 8th, 2014",Kenya Coffee Traders Association,m,1200.0,1200.0,1200.0
254,255,doi tung development project,Thailand,mae fah luang foundation,Doi Tung Development Project,2,1 kg,Specialty Coffee Association,2012,"June 21st, 2012",Doi Tung Development Project,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84,0.12,0,0,Green,0.0,"June 21st, 2013",Specialty Coffee Association,m,,,
255,256,taylor winch (coffee) ltd.,Kenya,taylor winch (coffee) ltd,-,150,9000 kg,Kenya Coffee Traders Association,2012,"May 31st, 2012",Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,84,0,0,0,Bluish-Green,0.0,"May 31st, 2013",Kenya Coffee Traders Association,m,1650.0,1650.0,1650.0
256,257,afca,Uganda,bukonzo joint cfs,,320,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,84,0.1,10,0,Green,26.0,"February 12th, 2013",Africa Fine Coffee Association,m,1700.0,1700.0,1700.0
257,258,doi tung development project,Thailand,,,1,60 kg,Specialty Coffee Association,2011,"August 16th, 2011",Doi Tung Development Project,,,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8,84,0.06,0,0,,0.0,"August 15th, 2012",Specialty Coffee Association,m,,,
258,259,ipanema coffees,Brazil,ipanema coffees,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,83.92,0,0,0,Green,3.0,"October 20th, 2018",Brazil Specialty Coffee Association,m,890.0,890.0,890.0
259,260,cafes tomari sa de cv,Mexico,cafes tomari sa de cv,CAFES TOMARI SA DE CV,200,69 kg,Centro AgroecolÃ³gico del CafÃ© A.C.,2017,"July 3rd, 2017",CAFES TOMARI SA DE CV,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,83.92,0.11,0,0,Green,5.0,"July 3rd, 2018",Centro AgroecolÃ³gico del CafÃ© A.C.,m,1300.0,1300.0,1300.0
260,261,sarawut premjit,Thailand,intercof 1978 group company limited,"Phatang, Saveg",45,40 kg,Specialty Coffee Association,2015,"October 18th, 2016",Sarawut Premjit,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,83.92,0.1,0,0,Bluish-Green,1.0,"October 18th, 2017",Specialty Coffee Association,m,1350.0,1350.0,1350.0
261,262,ipanema coffees,Brazil,ipanema coffees,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,0,2,Green,7.0,"August 16th, 2017",Brazil Specialty Coffee Association,m,934.0,934.0,934.0
262,263,"lin, che-hao krude ???",Taiwan,taiwan coffee laboratory,"FANG,ZHENG-LUN ???",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude ???",Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,83.92,0.11,0,0,Green,3.0,"May 18th, 2017",Specialty Coffee Association,m,1200.0,1200.0,1200.0
263,264,carcafe ltda ci,Colombia,carcafe ltda,FRANKLIN DUSSAN / HIPOLITO TORRES,250,70 kg,AlmacafÃ©,2016,"February 11th, 2016",CARCAFE LTDA CI,,,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,83.92,0.11,1,0,Green,2.0,"February 10th, 2017",AlmacafÃ©,m,442.0,442.0,442.0
264,265,almacafe,Colombia,racafe & cia s.c.a,,226,70 kg,AlmacafÃ©,2016,"January 21st, 2016",ALMACAFE,,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,83.92,0,1,3,,5.0,"January 20th, 2017",AlmacafÃ©,m,,,
265,266,cqi taiwan icp cqi??????,Taiwan,????,YANG TENG KO???,1,2 kg,Blossom Valley International,2014,"November 7th, 2015",CQI Taiwan ICP CQI??????,,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.92,0,0,0,Blue-Green,0.0,"November 6th, 2016",Blossom Valley International,m,,,
266,267,federacion nacional de cafeteros,Colombia,federacion nacional de cafeteros,,275,2 kg,AlmacafÃ©,2015,"August 18th, 2015",Federacion Nacional de Cafeteros,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.92,0,0,0,,0.0,"August 17th, 2016",AlmacafÃ©,m,,,
267,268,federacion nacional de cafeteros,Colombia,federacion nacional de cafeteros,,275,2 kg,AlmacafÃ©,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,83.92,0,1,0,None,1.0,"March 11th, 2016",AlmacafÃ©,m,,,
268,269,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,La Plata,275,70 kg,AlmacafÃ©,2014,"December 12th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,83.92,0,0,0,Green,1.0,"December 12th, 2015",AlmacafÃ©,m,1600.0,1950.0,1775.0
269,270,cqi taiwan icp cqi??????,Taiwan,????,???,10,60 kg,Blossom Valley International,2014,"November 23rd, 2014",CQI Taiwan ICP CQI??????,Typica,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,83.92,0.06,0,0,Green,0.0,"November 23rd, 2015",Blossom Valley International,m,950.0,950.0,950.0
270,271,compaÃ±ia colombiana agroindustrial s.a,Colombia,ecom cca sa,,250,70 kg,AlmacafÃ©,2014,"January 17th, 2014",CompaÃ±ia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,83.92,0.12,0,0,Green,3.0,"January 17th, 2015",AlmacafÃ©,m,1550.0,1550.0,1550.0
271,272,oscar ortega carballo,Mexico,agro xicotepec 2000,OSCAR ORTEGA CARBALLO,48,1 kg,AMECAFE,2012,"July 3rd, 2012",OSCAR ORTEGA CARBALLO,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,0.12,10,0,Blue-Green,32.0,"July 3rd, 2013",AMECAFE,m,900.0,900.0,900.0
272,273,alfredo bojalil,Mexico,ecomtrading,ARTURO LIEVANO MORENO,250,1 kg,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,0.11,0,0,,2.0,"June 6th, 2013",AMECAFE,m,1500.0,1500.0,1500.0
273,274,organizaciones de productores de cafe colimense,Mexico,organizaciones de productores de cafe colimense sa de cv,coop,20,1 kg,AMECAFE,2012,"April 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,0,0,0,Green,2.0,"April 2nd, 2013",AMECAFE,m,1400.0,1400.0,1400.0
274,275,carcafe ltda ci,Colombia,carcafe ltda,Jose Albeiro gomez,275,70 kg,AlmacafÃ©,2017,"June 30th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0,1,0,Green,6.0,"June 30th, 2018",AlmacafÃ©,m,2527.0,2527.0,2527.0
